Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020],2023 [YR2023]
Bosnia and Herzegovina,BIH,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,1129815179.29108,2555319693.15569,3392868172.9482,4079614411.05779,5508172063.75543,8571089544.54006
Bosnia and Herzegovina,BIH,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,3894169621.05155,7454235178.58048,8253151004.7465,8146989599.62302,9167679112.50204,14244803401.6134
Botswana,BWA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2160192482.04198,2675138476.7153,4438400213.02585,4693348193.41368,6271625272.56429,4341311311.13651,5756947778.6155
Botswana,BWA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1605435862.16516,1773065062.5787,2850552645.72238,5681110011.22376,6974017831.65318,6289874195.90258,6212597548.13675
Brazil,BRA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,46506000000,55187572648,118413811544,201197085781.18,189913957044.055,210690506940.955,343819143475.155
Brazil,BRA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,49663000000,56976350170,74692215554,182839148395.13,172469005395.53,175026917790.14,251543706886.58
British Virgin Islands,VGB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,6240958254.77904,8799576438.04708,6125471665.4663,6535165749.07934,11238393531.6144
Brunei Darussalam,BRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,1411802451.62396,2568019073.16445,3215783469.68027,5175992496.69625,7438797774.15791
Bulgaria,BGR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,5345000000,4824629175,11790949972.7712,18741520000,24301220000,31160920000,47066100000
Bulgaria,BGR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5224000000,6000151670.44,17204395497.8046,23520630000,27210600000,33416930000,51309050000
Burkina Faso,BFA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,481050691.591492,1592528572.29971,2364117632.93816,4846982739.9002,..
Burkina Faso,BFA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,1034856985.97177,1725076592.77463,2605530312.16461,3517024015.7414,..
Burundi,BDI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,112889502.817733,49052598.9583815,60801764.337049,101236293.907907,120838367.466551,185344387.665184,259266881.908938
Burundi,BDI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,175558291.542797,107858715.460542,188911994.721288,438394337.32052,617998155.92418,784668173.196504,1067885129.7099
Cabo Verde,CPV,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,14484342.4705066,30611338.5942811,77161967.3102613,122722538.537583,158562229.050704,128677755.285555,256975722.774798
Cabo Verde,CPV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,233614590.562109,222345361.664614,427276652.529121,805639464.430119,629178642.86857,789113319.583202,1150126617.76776
Cambodia,KHM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,855200000,1397116191.19578,2907982185.75998,3902895992.33006,9336304091.55421,19055244839.8551,23564391215.9118
Cambodia,KHM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1186800000,1935729762.62205,3918271202.00642,6587517405.19446,13285145515.2091,21065984618.7032,26550635328.0034
Cameroon,CMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1735916523.09712,1979110409.14417,3266523818.31354,4317471246.33679,5219111885.85913,4415761476.81647,..
Cameroon,CMR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1109028840.47049,1476891324.68541,2884716692.50836,4630409394.21336,5591229015.39278,5095127570.69579,..
Canada,CAN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,192930925885.201,288048191646.866,370564797070.01,392358819093.85,411129878290.903,390557430210.214,569147009422.92
Canada,CAN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,167288493745.016,243653094237.564,319980738184.783,401725653270.845,429745146704.688,420834199766.056,570607453381.223
Cayman Islands,CYM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,611341458.977716,..
Cayman Islands,CYM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,1234187571.691,..
Central African Republic,CAF,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
Central African Republic,CAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Chad,TCD,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
Chad,TCD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Channel Islands,CHI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
Channel Islands,CHI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Chile,CHL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,16025000000,19209887166.01,42082076283.9494,71422337518.894,62120249897.7929,74024363032.9097,94557422789.3555
Chile,CHL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14644000000,17028810000,30616765737.6835,55107733124.4607,58544405842.4844,55107524956.2133,79233989631.0801
China,CHN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,128109690000,111331687000,694870272887.864,1478072761421.33,2142753416452.3,2510014622024.19,3179192962108.03
China,CHN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,110059580000,124897211000,564741526453.618,1239986291933.41,1566562344086.59,1998911642462.18,2585296488447.71
Colombia,COL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,10592634723.8552,13744694741.4695,21708662781.1619,40761915542.2437,38572113082.3551,32308967194.8777,52641941235.9423
Colombia,COL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,13128212189,11042499112.5429,20094366338.4245,38405832816.0628,52050752072.5838,41178755257.089,59373499191.3836
Comoros,COM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,11315399.3242327,..,14391426.5519998,22597938.0658237,16956644.8355834,22062069.4182266,32067621.9078402
Comoros,COM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,53497049.6379621,..,92599764.0978964,177513311.886162,185304455.186966,239214555.150512,298674086.563677
"Congo, Dem. Rep.",COD,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,2402800000,8477900000,10284773559.9695,13788701762.6233,29600921210.8413
"Congo, Dem. Rep.",COD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,2690400000,8042500000,10574609454.436,11865260000,28000329980.3033
"Congo, Rep.",COG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1286599269.22613,2497989402.22498,4747198294.63055,8539145100.46647,4680230464.72499,4435821892.80186,..
"Congo, Rep.",COG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,654168145.297447,456409967.901112,1306001096.95669,3973506061.22049,5789624954.44514,2237300750.72649,..
Costa Rica,CRI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2569400000,4179869135.036,5568947320.24932,7492546076.85638,9452400028.07706,12066682924.6685,18886359991.6047
Costa Rica,CRI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3046100000,5180937180.6705,7615032589.95665,11040420104.4547,14059490160.2332,14085001056.9669,22044726871.3541
Cote d'Ivoire,CIV,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,7592014244.94057,11421347029.1804,11735247561.1794,12499992627.5662,..
Cote d'Ivoire,CIV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,5098826667.23391,7796223789.3865,8565435529.77399,9517832243.71766,..
Croatia,HRV,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,4517259000,3163299916.20404,7525237049.90281,10684153211.1631,11283173786.5403,13765549044.9997,20762224971.2185
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7744877260.7507,6632569890.79397,17023971543.5963,18522333342.1379,19197058058.7417,23862165303.4509,39713279128.1758
Cuba,CUB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
Cuba,CUB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,407324022.346369,270977840.564246,560187524.921788
Curacao,CUW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,1518519553.07263,1209349539.7095,1829830665.24022
Cyprus,CYP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1228725067.8849,950924374.581381,2045509062.5305,3563355681.85492,3195208095.9638,3375193283.9885,4698962673.03534
Cyprus,CYP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3314175871.1758,3556606001.94186,5785975202.67203,9757308374.30782,6781557972.197,8217264386.85846,12388881520.1361
Czechia,CZE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,15816447989.8108,19644621430.3602,71554951811.2085,115073264308.997,128168650727.529,144500533136.228,196981611457.252
Czechia,CZE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,20841309905.2907,25544095995.6033,70694381723.3122,112974269862.914,120537758449.62,132251778107.951,183906396319.317
Denmark,DNK,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,50348228652.08,50083927656.511,81513296556.4452,101132497732.666,103715589913.225,119508754674.753,160576817849.811
Denmark,DNK,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,43820531999.6185,43442836590.6923,72395157633.155,85208376995.668,89413791664.9913,101649229277.783,130363943240.071
Djibouti,DJI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,32010848.4647284,31628226.2647633,39500115.3493397,85133439.4922378,2582238452.40574,2784611835.40493,4771508501.82027
Djibouti,DJI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,179973103.910061,206537212.822345,277316693.018833,373889410.930616,2447071533.471,2911220396.01398,4481877392.60431
Dominica,DMA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,46092592.5925926,54742502.3074074,42909101.837037,33287701.3851852,34876544.4481481,15488131.5573661,23182726.7994074
Dominica,DMA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,99107407.4074074,130389795.555556,145931882.962963,200408641.481481,195356740.740741,187645120.229926,265488183.97037
Dominican Republic,DOM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,872100000,966100000,1395100000,6816000000,9441800000,10301900000,12931900000
Dominican Republic,DOM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3164200000,6416000000,7366300000,15209900000,16906500000,17105000000,28823100000
Ecuador,ECU,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,4460310000,5051684520,10461690880.6726,18131092037.8199,19042747807.6294,20569528780.565,31484016809.6817
Ecuador,ECU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4522570000,3653382344.86,9703350171.68,19635073726.0753,20692541798.5569,17091854228.2048,29277213174.6046
"Egypt, Arab Rep.",EGY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,4670000000,7061000000,16073200000,25024200000,19030900000,25049007000,34568500000
"Egypt, Arab Rep.",EGY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,12267000000,15382000000,23818200000,45144500000,50419900000,54282937500,60258850000
El Salvador,SLV,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1104792727.61887,1334900000,1864100000,3473156738.59,4436976012.23,3919625501.14,5520612705.86
El Salvador,SLV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2640673932.70192,3514500000,5393500000,7495374374.07697,9407327324.61219,8945053141.24784,14385343894.0084
Equatorial Guinea,GNQ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,89927159.2792219,..,..,..,..,..,..
Equatorial Guinea,GNQ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,120571350.878905,..,..,..,..,..,..
Eritrea,ERI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,85919591.8931239,36808601.8041237,..,..,..,..,..
Eritrea,ERI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,453075987.482927,471263649.054983,..,..,..,..,..
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1296073530.32741,1899671626.13249,5730412672.49101,9910386285.20099,11862878802.1071,15197902503.1982,19473598685.6762
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995828517.92909,2815986132.10103,7650476883.28925,10445382753.9713,12899630440.8822,15675031131.6473,21938665692.5305
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,859594964.000017,965541030.43375,1601331817.79942,1805286067.01588,1668738476.99708,1739331217.79465,2029035939.89042
Eswatini,SWZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1029936712.26343,1056597749.65615,1779914214.70873,1953922456.64785,1491809266.4311,1498505715.06167,1861675642.49118
Ethiopia,ETH,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,423017569.044172,486065462.144673,917349757.398932,2479500107.65786,2920026146.26227,3252826739.31433,3469616199.40214
Ethiopia,ETH,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1092783281.78202,1131380361.49943,3700858389.62042,7364532216.06256,14976930462.3856,11762035598.5478,15318231309.9688
Faroe Islands,FRO,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,476780000,603271415.632384,835113982.83451,..,..,..
Faroe Islands,FRO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,514590000,678903959.529157,744694411.642803,..,..,..
