Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Latin America & Caribbean,LCN,CO2 emissions (kt),EN.ATM.CO2E.KT,1012610.84966029,1031335.26456295,1051596.78607558,1089708.09766438,1129594.71156058,1140823.40560974,1196088.52922127,1262083.62464046,1340747.7537167,1365147.92547219,1357198.14407046,1389064.26221726,1405749.12646068,1440172.12654708,1449766.94698418,1526838.14233387,1572705.70132022,1600704.86119156,1681713.72916438,1645895.05116335,1732851.36795638,1768915.68527039,1847427.22022797,1874741.57657565,1912531.50401786,..
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (kt),EN.ATM.CO2E.KT,823050.816,837498.796,848690.48,889485.855,921678.448,924637.717,959155.188,1014479.217,1087111.486,1095835.279,1094933.197,1136722.329,1159545.737,1178889.162,1159245.043,1222489.792,1245430.544,1264190.916,1328568.768,1305811.366,1376371.78,1399598.558,1476220.523,1503304.985,1530022.747,..
Latin America & Caribbean (IDA & IBRD),TLA,CO2 emissions (kt),EN.ATM.CO2E.KT,959345.872,981399.21,1000166.916,1039425.818,1076176.492,1093638.746,1146740.573,1214275.712,1291297.38,1314421.482,1305253.982,1337307.229,1353012.99,1387409.45,1397086.663,1471805.455,1515615.104,1543572.312,1619805.575,1584969.075,1662397.78,1700028.534,1778366.655,1807178.274,1844357.987,..
Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,14143.619,12016.759,10912.992,9442.525,9149.165,8456.102,8063.733,6780.283,6351.244,6985.635,6912.295,7370.67,7403.673,7506.349,8012.395,8316.756,7902.385,7231.324,8074.734,7293.663,7062.642,7080.977,6974.634,..
Least developed countries: UN classification,LDC,CO2 emissions (kt),EN.ATM.CO2E.KT,76692.0519766303,75940.5023462886,78089.4055606827,76933.7563803583,77983.6598840517,94289.8433991895,97482.3753216633,99838.5012200036,97396.494345971,105308.745976055,111006.762015464,119938.383487461,127484.707481987,132862.14117382,153924.377991765,159268.249337395,172700.646118244,182101.832205007,192744.825101327,208493.023770268,228634.160642386,242208.265107209,247898.947363615,268635.388882937,293488.705753082,..
Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,8214.08,8478.104,10359.275,11683.062,12702.488,13578.901,13758.584,15647.089,16648.18,16490.499,15247.386,16171.47,16002.788,18180.986,16798.527,16208.14,14458.981,13461.557,17227.566,20872.564,20047.489,20443.525,22632.724,22581.386,24070.188,..
Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,1474.134,1529.139,1587.811,1635.482,1675.819,1708.822,1738.158,1771.161,1804.164,1826.166,1851.835,1877.504,1906.84,1932.509,1983.847,2013.183,2038.852,2075.522,2126.86,2218.535,2277.207,2332.212,2405.552,2434.888,2467.891,..
Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,473.043,278.692,282.359,315.362,311.695,326.363,337.364,348.365,374.034,392.369,421.705,491.378,487.711,520.714,616.056,726.066,748.068,667.394,564.718,517.047,792.072,891.081,1026.76,957.087,935.085,..
Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,36780.01,42863.563,37260.387,38947.207,44132.345,46020.85,44158.014,44975.755,45474.467,44620.056,47113.616,48100.039,47832.348,49167.136,50358.911,52108.07,53270.509,49959.208,56013.425,57978.937,61961.299,39702.609,52683.789,56266.448,56996.181,..
Liechtenstein,LIE,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.339,62.339,51.338,55.005,47.671,47.671,51.338,44.004,..
Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,22148.68,17495.257,17359.578,16204.473,15731.43,15339.061,16197.139,13692.578,12163.439,12885.838,13142.528,12823.499,13245.204,13901.597,14158.287,15166.712,15009.031,12519.138,13468.891,13787.92,13831.924,12640.149,12838.167,..
Low & middle income,LMY,CO2 emissions (kt),EN.ATM.CO2E.KT,8937881.65435028,9298663.84315827,9638746.53789472,9701708.93272314,9620767.34214992,9975871.42854821,10253476.697844,10237229.8149931,10124002.6590928,10312320.9498699,10590265.1454932,10829865.6047782,11287205.2885833,12350591.3573365,13318999.940498,14210397.9593367,15143713.2234635,15902799.196325,16909118.3808275,17322558.6701993,18430142.1704556,19903961.8874157,20640959.8337384,20754945.4852284,21009991.6718536,..
Low income,LIC,CO2 emissions (kt),EN.ATM.CO2E.KT,155316.268725434,163302.881081502,165340.539684195,164361.534219465,162221.79173667,157077.521789453,162378.735565569,161285.941497685,173829.822340731,187029.36237334,189533.309452487,192732.167938215,179068.094737077,200330.873101479,201584.734987266,209466.69208256,217201.358173198,221083.797988226,233225.864141254,231178.896845783,237055.430262303,221295.292764142,209746.167322163,208571.738871862,217546.923706113,..
Lower middle income,LMC,CO2 emissions (kt),EN.ATM.CO2E.KT,1828400.37099263,1959173.91652478,2100000.61572176,2063113.13092567,1995039.15480127,2075525.28100792,2182077.28971936,2200667.96493874,2169005.97638772,2274036.66291852,2397151.51968773,2450056.16474949,2512671.31876948,2643942.05289607,2774111.06034095,2867368.55152603,2977364.94342867,3150416.82574825,3382073.22269063,3524644.00014937,3587695.81814404,3929521.21083586,4176932.2993268,4038070.66836317,4197373.86275,..
Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,10003.576,10615.965,10571.961,10788.314,10190.593,8316.756,8437.767,7939.055,7356.002,7686.032,8239.749,8800.8,9416.856,9904.567,11268.691,11547.383,11349.365,11019.335,10938.661,10392.278,10967.997,10938.661,10663.636,10051.247,9658.878,..
"Macao SAR, China",MAC,CO2 emissions (kt),EN.ATM.CO2E.KT,1034.094,1092.766,1081.765,1180.774,1272.449,1232.112,1408.128,1488.802,1558.475,1518.138,1631.815,1686.82,1518.138,1532.806,1716.156,1829.833,1620.814,1536.473,1338.455,2071.855,1408.128,1448.465,1312.786,1180.774,1283.45,..
"Macedonia, FYR",MKD,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,10777.313,10340.94,10469.285,10839.652,11741.734,10634.3,12625.481,11723.399,12064.43,11998.424,10934.994,11309.028,11191.684,11279.692,10938.661,9493.863,9402.188,8698.124,8602.782,9398.521,8965.815,7847.38,7510.016,..
Madagascar,MDG,CO2 emissions (kt),EN.ATM.CO2E.KT,949.753,1034.094,1004.758,1030.427,1268.782,1265.115,1364.124,1650.15,1738.158,1917.841,1873.837,1741.825,1235.779,1701.488,1807.831,1741.825,1683.153,1815.165,1888.505,1771.161,1958.178,2339.546,2706.246,3116.95,3076.613,..
Malawi,MWI,CO2 emissions (kt),EN.ATM.CO2E.KT,748.068,795.739,795.739,891.081,916.75,920.417,913.083,964.421,935.085,942.419,869.079,865.412,850.744,916.75,931.418,876.413,913.083,887.414,1056.096,946.086,1144.104,1180.774,1096.433,1224.778,1276.116,..
